Variable,Season,Location,Value,ensemble,machine
tas,ALL,North Midlat,10.918,p001,lumi
tas,ALL,Tropical,37.203,p001,lumi
tas,ALL,South Midlat,17.592,p001,lumi
tas,DJF,Global,15.98,p001,lumi
tas,DJF,North Midlat,8.276,p001,lumi
tas,DJF,Tropical,23.569,p001,lumi
tas,DJF,South Midlat,14.144,p001,lumi
tas,JJA,Global,27.988,p001,lumi
tas,JJA,North Midlat,26.047,p001,lumi
tas,JJA,Tropical,31.295,p001,lumi
tas,JJA,South Midlat,10.419,p001,lumi
pr,ALL,Global,,p001,lumi
pr,ALL,North Midlat,,p001,lumi
pr,ALL,Tropical,,p001,lumi
pr,ALL,South Midlat,,p001,lumi
pr,DJF,Global,,p001,lumi
pr,DJF,North Midlat,,p001,lumi
pr,DJF,Tropical,,p001,lumi
pr,DJF,South Midlat,,p001,lumi
pr,JJA,Global,,p001,lumi
pr,JJA,North Midlat,,p001,lumi
pr,JJA,Tropical,,p001,lumi
pr,JJA,South Midlat,,p001,lumi
ta,ALL,Global,11.346,p001,lumi
ta,ALL,North Midlat,13.675,p001,lumi
ta,ALL,Tropical,3.644,p001,lumi
ta,ALL,South Midlat,24.421,p001,lumi
ta,DJF,Global,11.379,p001,lumi
ta,DJF,North Midlat,3.317,p001,lumi
ta,DJF,Tropical,4.949,p001,lumi
ta,DJF,South Midlat,32.304,p001,lumi
ta,JJA,Global,16.57,p001,lumi
ta,JJA,North Midlat,50.224,p001,lumi
ta,JJA,Tropical,5.48,p001,lumi
ta,JJA,South Midlat,5.097,p001,lumi
ua,ALL,Global,4.038,p001,lumi
ua,ALL,North Midlat,1.94,p001,lumi
ua,ALL,Tropical,4.43,p001,lumi
ua,ALL,South Midlat,5.351,p001,lumi
ua,DJF,Global,2.53,p001,lumi
ua,DJF,North Midlat,0.406,p001,lumi
ua,DJF,Tropical,3.057,p001,lumi
ua,DJF,South Midlat,3.602,p001,lumi
ua,JJA,Global,8.998,p001,lumi
ua,JJA,North Midlat,4.27,p001,lumi
ua,JJA,Tropical,15.184,p001,lumi
ua,JJA,South Midlat,1.354,p001,lumi
va,ALL,Global,3.69,p001,lumi
va,ALL,North Midlat,2.009,p001,lumi
va,ALL,Tropical,2.166,p001,lumi
va,ALL,South Midlat,8.417,p001,lumi
va,DJF,Global,2.732,p001,lumi
va,DJF,North Midlat,0.807,p001,lumi
va,DJF,Tropical,3.161,p001,lumi
va,DJF,South Midlat,3.801,p001,lumi
va,JJA,Global,4.899,p001,lumi
va,JJA,North Midlat,2.456,p001,lumi
va,JJA,Tropical,6.461,p001,lumi
va,JJA,South Midlat,4.218,p001,lumi
hus,ALL,Global,3.436,p001,lumi
hus,ALL,North Midlat,2.528,p001,lumi
hus,ALL,Tropical,2.711,p001,lumi
hus,ALL,South Midlat,5.795,p001,lumi
hus,DJF,Global,6.416,p001,lumi
hus,DJF,North Midlat,7.682,p001,lumi
hus,DJF,Tropical,5.047,p001,lumi
hus,DJF,South Midlat,7.888,p001,lumi
hus,JJA,Global,12.931,p001,lumi
hus,JJA,North Midlat,21.031,p001,lumi
hus,JJA,Tropical,10.447,p001,lumi
hus,JJA,South Midlat,9.798,p001,lumi
sos,ALL,Global,137391666851.099,p001,lumi
sos,ALL,North Midlat,120838688047.08,p001,lumi
sos,ALL,Tropical,73588153641.555,p001,lumi
sos,ALL,South Midlat,252696157891.783,p001,lumi
sos,DJF,Global,96071185042.394,p001,lumi
sos,DJF,North Midlat,101416472775.113,p001,lumi
sos,DJF,Tropical,47340073364.283,p001,lumi
sos,DJF,South Midlat,174942199274.478,p001,lumi
sos,JJA,Global,108255050656.316,p001,lumi
sos,JJA,North Midlat,77509427672.247,p001,lumi
sos,JJA,Tropical,54679128039.408,p001,lumi
sos,JJA,South Midlat,213687662328.378,p001,lumi
siconc,ALL,Global,1.119,p001,lumi
siconc,ALL,North Midlat,1.548,p001,lumi
siconc,ALL,Tropical,,p001,lumi
siconc,ALL,South Midlat,0.817,p001,lumi
siconc,DJF,Global,6.071,p001,lumi
siconc,DJF,North Midlat,1.806,p001,lumi
siconc,DJF,Tropical,,p001,lumi
siconc,DJF,South Midlat,7.928,p001,lumi
siconc,JJA,Global,3.842,p001,lumi
siconc,JJA,North Midlat,4.407,p001,lumi
siconc,JJA,Tropical,,p001,lumi
siconc,JJA,South Midlat,3.528,p001,lumi
psl,ALL,Global,2.436,p002,lumi
psl,ALL,North Midlat,1.93,p002,lumi
psl,ALL,Tropical,2.782,p002,lumi
psl,ALL,South Midlat,2.25,p002,lumi
psl,DJF,Global,1.4,p002,lumi
psl,DJF,North Midlat,0.787,p002,lumi
psl,DJF,Tropical,1.784,p002,lumi
psl,DJF,South Midlat,1.245,p002,lumi
psl,JJA,Global,2.783,p002,lumi
psl,JJA,North Midlat,3.114,p002,lumi
psl,JJA,Tropical,3.358,p002,lumi
psl,JJA,South Midlat,1.3,p002,lumi
tas,ALL,Global,23.047,p002,lumi
tas,ALL,North Midlat,10.438,p002,lumi
tas,ALL,Tropical,35.674,p002,lumi
tas,ALL,South Midlat,17.54,p002,lumi
tas,DJF,Global,15.454,p002,lumi
tas,DJF,North Midlat,7.379,p002,lumi
tas,DJF,Tropical,23.281,p002,lumi
tas,DJF,South Midlat,15.115,p002,lumi
tas,JJA,Global,28.148,p002,lumi
tas,JJA,North Midlat,26.527,p002,lumi
tas,JJA,Tropical,31.261,p002,lumi
tas,JJA,South Midlat,9.177,p002,lumi
pr,ALL,Global,,p002,lumi
pr,ALL,North Midlat,,p002,lumi
pr,ALL,Tropical,,p002,lumi
pr,ALL,South Midlat,,p002,lumi
pr,DJF,Global,,p002,lumi
pr,DJF,North Midlat,,p002,lumi
pr,DJF,Tropical,,p002,lumi
pr,DJF,South Midlat,,p002,lumi
pr,JJA,Global,,p002,lumi
pr,JJA,North Midlat,,p002,lumi
pr,JJA,Tropical,,p002,lumi
pr,JJA,South Midlat,,p002,lumi
ta,ALL,Global,11.763,p002,lumi
ta,ALL,North Midlat,14.405,p002,lumi
ta,ALL,Tropical,4.149,p002,lumi
ta,ALL,South Midlat,24.35,p002,lumi
