Variable,Season,Location,Value,ensemble,machine
sos,JJA,North Midlat,18.029,p000,mn4
sos,JJA,Tropical,4.392,p000,mn4
sos,JJA,South Midlat,5.198,p000,mn4
siconc,ALL,Global,,p000,mn4
siconc,ALL,North Midlat,,p000,mn4
siconc,ALL,Tropical,,p000,mn4
siconc,ALL,South Midlat,,p000,mn4
siconc,DJF,Global,,p000,mn4
siconc,DJF,North Midlat,,p000,mn4
siconc,DJF,Tropical,,p000,mn4
siconc,DJF,South Midlat,,p000,mn4
siconc,JJA,Global,,p000,mn4
siconc,JJA,North Midlat,,p000,mn4
siconc,JJA,Tropical,,p000,mn4
siconc,JJA,South Midlat,,p000,mn4
psl,ALL,Global,2.527,p001,mn4
psl,ALL,North Midlat,1.846,p001,mn4
psl,ALL,Tropical,3.39,p001,mn4
psl,ALL,South Midlat,1.482,p001,mn4
psl,DJF,Global,0.947,p001,mn4
psl,DJF,North Midlat,0.581,p001,mn4
psl,DJF,Tropical,1.175,p001,mn4
psl,DJF,South Midlat,0.858,p001,mn4
psl,JJA,Global,3.696,p001,mn4
psl,JJA,North Midlat,3.755,p001,mn4
psl,JJA,Tropical,5.007,p001,mn4
psl,JJA,South Midlat,1.013,p001,mn4
tas,ALL,Global,28.48,p001,mn4
tas,ALL,North Midlat,14.136,p001,mn4
tas,ALL,Tropical,43.103,p001,mn4
tas,ALL,South Midlat,19.064,p001,mn4
tas,DJF,Global,18.16,p001,mn4
tas,DJF,North Midlat,9.432,p001,mn4
tas,DJF,Tropical,26.982,p001,mn4
tas,DJF,South Midlat,13.328,p001,mn4
tas,JJA,Global,34.842,p001,mn4
tas,JJA,North Midlat,32.797,p001,mn4
tas,JJA,Tropical,38.867,p001,mn4
tas,JJA,South Midlat,9.68,p001,mn4
pr,ALL,Global,,p001,mn4
pr,ALL,North Midlat,,p001,mn4
pr,ALL,Tropical,,p001,mn4
pr,ALL,South Midlat,,p001,mn4
pr,DJF,Global,,p001,mn4
pr,DJF,North Midlat,,p001,mn4
pr,DJF,Tropical,,p001,mn4
pr,DJF,South Midlat,,p001,mn4
pr,JJA,Global,,p001,mn4
pr,JJA,North Midlat,,p001,mn4
pr,JJA,Tropical,,p001,mn4
pr,JJA,South Midlat,,p001,mn4
tos,ALL,Global,5.006,p001,mn4
tos,ALL,North Midlat,5.223,p001,mn4
tos,ALL,Tropical,4.336,p001,mn4
tos,ALL,South Midlat,6.058,p001,mn4
tos,DJF,Global,5.779,p001,mn4
tos,DJF,North Midlat,8.828,p001,mn4
tos,DJF,Tropical,4.585,p001,mn4
tos,DJF,South Midlat,6.401,p001,mn4
tos,JJA,Global,9.182,p001,mn4
tos,JJA,North Midlat,15.159,p001,mn4
tos,JJA,Tropical,7.343,p001,mn4
tos,JJA,South Midlat,9.221,p001,mn4
sos,ALL,Global,7.444,p001,mn4
sos,ALL,North Midlat,23.144,p001,mn4
sos,ALL,Tropical,3.978,p001,mn4
sos,ALL,South Midlat,4.865,p001,mn4
sos,DJF,Global,6.234,p001,mn4
sos,DJF,North Midlat,21.373,p001,mn4
sos,DJF,Tropical,3.395,p001,mn4
sos,DJF,South Midlat,2.895,p001,mn4
sos,JJA,Global,6.426,p001,mn4
sos,JJA,North Midlat,16.172,p001,mn4
sos,JJA,Tropical,3.961,p001,mn4
sos,JJA,South Midlat,5.359,p001,mn4
siconc,ALL,Global,,p001,mn4
siconc,ALL,North Midlat,,p001,mn4
siconc,ALL,Tropical,,p001,mn4
siconc,ALL,South Midlat,,p001,mn4
siconc,DJF,Global,,p001,mn4
siconc,DJF,North Midlat,,p001,mn4
siconc,DJF,Tropical,,p001,mn4
siconc,DJF,South Midlat,,p001,mn4
siconc,JJA,Global,,p001,mn4
siconc,JJA,North Midlat,,p001,mn4
siconc,JJA,Tropical,,p001,mn4
siconc,JJA,South Midlat,,p001,mn4
psl,ALL,Global,2.706,p002,mn4
psl,ALL,North Midlat,2.171,p002,mn4
psl,ALL,Tropical,3.173,p002,mn4
psl,ALL,South Midlat,2.309,p002,mn4
psl,DJF,Global,1.018,p002,mn4
psl,DJF,North Midlat,0.603,p002,mn4
psl,DJF,Tropical,1.195,p002,mn4
psl,DJF,South Midlat,1.079,p002,mn4
psl,JJA,Global,3.349,p002,mn4
psl,JJA,North Midlat,3.761,p002,mn4
psl,JJA,Tropical,4.216,p002,mn4
psl,JJA,South Midlat,1.202,p002,mn4
tas,ALL,Global,29.206,p002,mn4
tas,ALL,North Midlat,16.037,p002,mn4
tas,ALL,Tropical,42.646,p002,mn4
tas,ALL,South Midlat,20.373,p002,mn4
tas,DJF,Global,17.162,p002,mn4
tas,DJF,North Midlat,8.684,p002,mn4
tas,DJF,Tropical,25.647,p002,mn4
tas,DJF,South Midlat,13.503,p002,mn4
tas,JJA,Global,34.526,p002,mn4
tas,JJA,North Midlat,33.717,p002,mn4
tas,JJA,Tropical,37.257,p002,mn4
tas,JJA,South Midlat,10.591,p002,mn4
pr,ALL,Global,,p002,mn4
pr,ALL,North Midlat,,p002,mn4
pr,ALL,Tropical,,p002,mn4
pr,ALL,South Midlat,,p002,mn4
pr,DJF,Global,,p002,mn4
pr,DJF,North Midlat,,p002,mn4
pr,DJF,Tropical,,p002,mn4
pr,DJF,South Midlat,,p002,mn4
pr,JJA,Global,,p002,mn4
pr,JJA,North Midlat,,p002,mn4
pr,JJA,Tropical,,p002,mn4
pr,JJA,South Midlat,,p002,mn4
tos,ALL,Global,4.987,p002,mn4
tos,ALL,North Midlat,5.698,p002,mn4
tos,ALL,Tropical,4.388,p002,mn4
tos,ALL,South Midlat,5.659,p002,mn4
tos,DJF,Global,5.802,p002,mn4
tos,DJF,North Midlat,8.891,p002,mn4
tos,DJF,Tropical,4.786,p002,mn4
tos,DJF,South Midlat,6.101,p002,mn4
tos,JJA,Global,9.203,p002,mn4
tos,JJA,North Midlat,15.885,p002,mn4
tos,JJA,Tropical,7.079,p002,mn4
tos,JJA,South Midlat,9.38,p002,mn4
sos,ALL,Global,7.766,p002,mn4
sos,ALL,North Midlat,25.817,p002,mn4
sos,ALL,Tropical,3.863,p002,mn4
sos,ALL,South Midlat,4.663,p002,mn4
sos,DJF,Global,6.701,p002,mn4
sos,DJF,North Midlat,24.276,p002,mn4
sos,DJF,Tropical,3.38,p002,mn4
sos,DJF,South Midlat,2.865,p002,mn4
sos,JJA,Global,6.453,p002,mn4
sos,JJA,North Midlat,17.986,p002,mn4
sos,JJA,Tropical,3.607,p002,mn4
sos,JJA,South Midlat,5.069,p002,mn4
siconc,ALL,Global,,p002,mn4
siconc,ALL,North Midlat,,p002,mn4
siconc,ALL,Tropical,,p002,mn4
siconc,ALL,South Midlat,,p002,mn4
siconc,DJF,Global,,p002,mn4
siconc,DJF,North Midlat,,p002,mn4
siconc,DJF,Tropical,,p002,mn4
siconc,DJF,South Midlat,,p002,mn4
siconc,JJA,Global,,p002,mn4
siconc,JJA,North Midlat,,p002,mn4
siconc,JJA,Tropical,,p002,mn4
siconc,JJA,South Midlat,,p002,mn4
psl,ALL,Global,2.829,p003,mn4
psl,ALL,North Midlat,2.081,p003,mn4
psl,ALL,Tropical,3.402,p003,mn4
psl,ALL,South Midlat,2.431,p003,mn4
psl,DJF,Global,1.092,p003,mn4
psl,DJF,North Midlat,0.616,p003,mn4
psl,DJF,Tropical,1.203,p003,mn4
psl,DJF,South Midlat,1.345,p003,mn4
psl,JJA,Global,3.47,p003,mn4
psl,JJA,North Midlat,3.669,p003,mn4
psl,JJA,Tropical,4.449,p003,mn4
psl,JJA,South Midlat,1.313,p003,mn4
tas,ALL,Global,29.127,p003,mn4
tas,ALL,North Midlat,14.345,p003,mn4
tas,ALL,Tropical,44.231,p003,mn4
tas,ALL,South Midlat,18.981,p003,mn4
tas,DJF,Global,17.369,p003,mn4
tas,DJF,North Midlat,8.083,p003,mn4
tas,DJF,Tropical,26.734,p003,mn4
tas,DJF,South Midlat,12.488,p003,mn4
tas,JJA,Global,35.771,p003,mn4
tas,JJA,North Midlat,33.892,p003,mn4
tas,JJA,Tropical,39.514,p003,mn4
tas,JJA,South Midlat,12.131,p003,mn4
pr,ALL,Global,,p003,mn4
pr,ALL,North Midlat,,p003,mn4
pr,ALL,Tropical,,p003,mn4
pr,ALL,South Midlat,,p003,mn4
pr,DJF,Global,,p003,mn4
pr,DJF,North Midlat,,p003,mn4
pr,DJF,Tropical,,p003,mn4
pr,DJF,South Midlat,,p003,mn4
pr,JJA,Global,,p003,mn4
pr,JJA,North Midlat,,p003,mn4
pr,JJA,Tropical,,p003,mn4
pr,JJA,South Midlat,,p003,mn4
tos,ALL,Global,4.926,p003,mn4
tos,ALL,North Midlat,5.164,p003,mn4
tos,ALL,Tropical,4.596,p003,mn4
tos,ALL,South Midlat,5.376,p003,mn4
tos,DJF,Global,5.911,p003,mn4
tos,DJF,North Midlat,8.43,p003,mn4
tos,DJF,Tropical,4.888,p003,mn4
tos,DJF,South Midlat,6.489,p003,mn4
tos,JJA,Global,8.905,p003,mn4
tos,JJA,North Midlat,15.649,p003,mn4
tos,JJA,Tropical,7.087,p003,mn4
tos,JJA,South Midlat,8.456,p003,mn4
sos,ALL,Global,7.844,p003,mn4
sos,ALL,North Midlat,24.632,p003,mn4
sos,ALL,Tropical,4.393,p003,mn4
sos,ALL,South Midlat,4.655,p003,mn4
sos,DJF,Global,6.506,p003,mn4
sos,DJF,North Midlat,22.434,p003,mn4
sos,DJF,Tropical,3.605,p003,mn4
sos,DJF,South Midlat,2.847,p003,mn4
sos,JJA,Global,6.797,p003,mn4
sos,JJA,North Midlat,17.314,p003,mn4
sos,JJA,Tropical,4.447,p003,mn4
sos,JJA,South Midlat,5.117,p003,mn4
siconc,ALL,Global,,p003,mn4
siconc,ALL,North Midlat,,p003,mn4
siconc,ALL,Tropical,,p003,mn4
siconc,ALL,South Midlat,,p003,mn4
siconc,DJF,Global,,p003,mn4
siconc,DJF,North Midlat,,p003,mn4
siconc,DJF,Tropical,,p003,mn4
siconc,DJF,South Midlat,,p003,mn4
siconc,JJA,Global,,p003,mn4
siconc,JJA,North Midlat,,p003,mn4
siconc,JJA,Tropical,,p003,mn4
siconc,JJA,South Midlat,,p003,mn4
psl,ALL,Global,2.334,p004,mn4
psl,ALL,North Midlat,1.69,p004,mn4
psl,ALL,Tropical,3.056,p004,mn4
psl,ALL,South Midlat,1.536,p004,mn4
psl,DJF,Global,1.004,p004,mn4
psl,DJF,North Midlat,0.618,p004,mn4
psl,DJF,Tropical,1.219,p004,mn4
psl,DJF,South Midlat,0.961,p004,mn4
psl,JJA,Global,3.268,p004,mn4
psl,JJA,North Midlat,3.264,p004,mn4
psl,JJA,Tropical,4.455,p004,mn4
psl,JJA,South Midlat,0.897,p004,mn4
tas,ALL,Global,28.586,p004,mn4
tas,ALL,North Midlat,14.291,p004,mn4
tas,ALL,Tropical,43.168,p004,mn4
tas,ALL,South Midlat,19.081,p004,mn4
tas,DJF,Global,17.862,p004,mn4
tas,DJF,North Midlat,9.207,p004,mn4
tas,DJF,Tropical,26.595,p004,mn4
tas,DJF,South Midlat,13.247,p004,mn4
tas,JJA,Global,34.564,p004,mn4
tas,JJA,North Midlat,31.508,p004,mn4
tas,JJA,Tropical,39.403,p004,mn4
tas,JJA,South Midlat,11.426,p004,mn4
pr,ALL,Global,,p004,mn4
pr,ALL,North Midlat,,p004,mn4
pr,ALL,Tropical,,p004,mn4
pr,ALL,South Midlat,,p004,mn4
pr,DJF,Global,,p004,mn4
pr,DJF,North Midlat,,p004,mn4
pr,DJF,Tropical,,p004,mn4
pr,DJF,South Midlat,,p004,mn4
pr,JJA,Global,,p004,mn4
pr,JJA,North Midlat,,p004,mn4
pr,JJA,Tropical,,p004,mn4
pr,JJA,South Midlat,,p004,mn4
tos,ALL,Global,4.758,p004,mn4
tos,ALL,North Midlat,5.3,p004,mn4
tos,ALL,Tropical,4.086,p004,mn4
tos,ALL,South Midlat,5.643,p004,mn4
tos,DJF,Global,5.772,p004,mn4
tos,DJF,North Midlat,8.974,p004,mn4
tos,DJF,Tropical,4.693,p004,mn4
tos,DJF,South Midlat,6.125,p004,mn4
tos,JJA,Global,9.014,p004,mn4
tos,JJA,North Midlat,15.876,p004,mn4
tos,JJA,Tropical,6.738,p004,mn4
tos,JJA,South Midlat,9.375,p004,mn4
sos,ALL,Global,7.937,p004,mn4
sos,ALL,North Midlat,25.141,p004,mn4
sos,ALL,Tropical,4.199,p004,mn4
sos,ALL,South Midlat,5.011,p004,mn4
sos,DJF,Global,6.567,p004,mn4
sos,DJF,North Midlat,22.726,p004,mn4
sos,DJF,Tropical,3.545,p004,mn4
sos,DJF,South Midlat,2.988,p004,mn4
sos,JJA,Global,6.891,p004,mn4
sos,JJA,North Midlat,18.225,p004,mn4
sos,JJA,Tropical,4.018,p004,mn4
sos,JJA,South Midlat,5.661,p004,mn4
siconc,ALL,Global,,p004,mn4
siconc,ALL,North Midlat,,p004,mn4
siconc,ALL,Tropical,,p004,mn4
siconc,ALL,South Midlat,,p004,mn4
siconc,DJF,Global,,p004,mn4
siconc,DJF,North Midlat,,p004,mn4
siconc,DJF,Tropical,,p004,mn4
siconc,DJF,South Midlat,,p004,mn4
siconc,JJA,Global,,p004,mn4
siconc,JJA,North Midlat,,p004,mn4
siconc,JJA,Tropical,,p004,mn4
siconc,JJA,South Midlat,,p004,mn4
